Supplemental Table S3.  Species-level OTU table generated by MetaPhlAn2 analysis. Sample numbers in red correspond to the caries group and sample numbers in black correspond to the healthy group.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
species,SC01,SC05,SC07,SC09,SC10,SC11,SC15,SC16,SC18,SC20,SC21,SC22,SC25,SC26,SC27,SC31,SC32,SC34,SC36,SC37,SC38,SC39,SC40,SC17,SC19,SC23,SC24,SC28,SC29,SC30,SC33,SC35,SC41,SC42,SC43,SC44,SC45,SC46,SC47,SC48,SC49,SC50,SC51,SC53,SC54,SC55,SC56
Atopobium_rimae ,3047.64,0,4083.79,1735.23,28528.5,23787.4,9359.45,109.745,2641.76,23639,6970.61,4228.47,0,1178.43,9498.36,0,2012.71,3297.76,24409.4,11277.2,104.958,44422.3,5123.92,1991.02,9345.35,2309.31,0,0,3865.99,6234.09,41797.9,110.364,4059.85,991.573,0,2957.82,34355.6,0,0,3998.9,0,21556.3,0,2474.45,1977.47,0,3145.32
Atopobium_sp_ICM58 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21209.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_pyogenes ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes_oral_taxon_274 ,219.706,0,1373.58,1156.66,68.6418,708.038,3325.32,0,0,1370.47,0,69.5119,0,195.907,0,264.25,43.8852,0,958.7,528.373,0,0,0,459.291,734.678,3816.96,0,0,478.756,8185.03,2902.27,237.295,1719.02,0,0,2328.32,5551.23,20531.3,0,0,451.213,0,0,6454.84,0,0,5381.09
Bifidobacterium_dentium ,0,0,0,0,760.228,0,0,0,0,0,0,0,0,0,0,0,0,0,424.679,0,0,0,0,0,242.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium_longum ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2952.14,0,0,0,0,0,0
Bulleidia_extructa ,0,0,1330.02,0,0,715.359,0,0,0,0,0,0,0,172.376,0,0,0,0,0,289.271,0,750.183,0,0,0,2520.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2likevirus_unclassified ,0,0,0,592.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campylobacter_concisus ,3857.3,19058.9,2312.56,12318.2,2519.28,1151.79,2703.21,3551.87,5904.5,6224.52,4738.16,7426.23,4247.51,640.668,4887.03,1630.58,3709.14,3141.85,2902.98,6417.49,13075.6,33410,2208.93,1981.18,7380.52,2870.97,15361.1,9833.57,4202.57,4215.03,17250.2,11285.1,3164.5,14456.7,1892.07,5586.29,13071.6,5616.85,25364.2,7705.09,1408.39,3772.13,14314.4,3634.8,62136.5,37211.7,16594.8
Campylobacter_gracilis ,0,353.684,273.085,0,139.971,0,0,0,0,330.538,0,103.133,0,0,0,0,0,0,102.497,0,241.263,1084,0,235.598,0,0,665.171,0,0,34.8381,3152.48,0,0,633.067,0,0,501.137,2016.46,0,570.59,0,0,0,70.5828,2196.62,1194.61,1777.79
