Final Max Accuracy: 92.92230261088392% in 0:1:28
Test Config: lr: 0.01, linear: False, loss_fn: ce, optim: sgd
Epoch: 4300, Train loss: 5.196573058260306, Test Loss: 5.250829262916675, Accuracy: 89.99685435671594
Epoch: 4350, Train loss: 5.193972116184023, Test Loss: 5.248398538331447, Accuracy: 89.96539792387543
Epoch: 4400, Train loss: 5.1914625385752124, Test Loss: 5.246060790317489, Accuracy: 89.96539792387543
Epoch: 4450, Train loss: 5.189034426257651, Test Loss: 5.243805756103674, Accuracy: 89.99685435671594
Epoch: 4500, Train loss: 5.186676647757679, Test Loss: 5.2416222521980345, Accuracy: 90.02831078955647
Epoch: 4550, Train loss: 5.184375558580586, Test Loss: 5.239498561705068, Accuracy: 90.02831078955647
Epoch: 4600, Train loss: 5.182113013015984, Test Loss: 5.237416421423998, Accuracy: 90.12268008807801
Epoch: 4650, Train loss: 5.179862938417728, Test Loss: 5.2353502455441445, Accuracy: 90.0912236552375
Epoch: 4700, Train loss: 5.177581619210273, Test Loss: 5.233259035280305, Accuracy: 90.12268008807801
Epoch: 4750, Train loss: 5.175185639720117, Test Loss: 5.231062630508855, Accuracy: 90.15413652091853
Epoch: 4800, Train loss: 5.172484746561303, Test Loss: 5.228579825767488, Accuracy: 90.21704938659956
Epoch: 4850, Train loss: 5.168935908335924, Test Loss: 5.225290721399725, Accuracy: 90.34287511796163
Epoch: 4900, Train loss: 5.162313850187732, Test Loss: 5.219037377277847, Accuracy: 90.34287511796163
Epoch: 4950, Train loss: 5.1379805285420685, Test Loss: 5.195325519024095, Accuracy: 91.38093740169865
Epoch: 5000, Train loss: 5.108287340078048, Test Loss: 5.166081300123192, Accuracy: 91.47530670022019
Epoch: 5050, Train loss: 5.099668471207189, Test Loss: 5.156498302392903, Accuracy: 91.60113243158226
Epoch: 5100, Train loss: 5.0923017009693625, Test Loss: 5.1486966220345805, Accuracy: 91.91569675998743
Epoch: 5150, Train loss: 5.08562384442913, Test Loss: 5.1417447338603735, Accuracy: 91.94715319282794
Epoch: 5200, Train loss: 5.079506758482342, Test Loss: 5.135453514895132, Accuracy: 92.10443535703051
Epoch: 5250, Train loss: 5.073862454258109, Test Loss: 5.129713832691888, Accuracy: 92.16734822271154
Epoch: 5300, Train loss: 5.068623347562084, Test Loss: 5.124451121650254, Accuracy: 92.19880465555205
Epoch: 5350, Train loss: 5.063736135975928, Test Loss: 5.119605025876331, Accuracy: 92.13589178987102
Epoch: 5400, Train loss: 5.059155910016131, Test Loss: 5.115116338959135, Accuracy: 92.23026108839257
Epoch: 5450, Train loss: 5.054847423359514, Test Loss: 5.110941581748495, Accuracy: 92.23026108839257
Epoch: 5500, Train loss: 5.0507802713273175, Test Loss: 5.107047953749108, Accuracy: 92.19880465555205
Epoch: 5550, Train loss: 5.046928892288965, Test Loss: 5.103404864504874, Accuracy: 92.19880465555205
Epoch: 5600, Train loss: 5.0432726473931995, Test Loss: 5.099985223456869, Accuracy: 92.23026108839257
