Sample_2	Sample_22	Sample_23	Sample_24	Sample_25	Sample_26	Sample_27	Sample_28	Sample_29	Sample_3	Sample_30	Sample_31	Sample_32	Sample_33	Sample_34	Sample_35	Sample_36	Sample_37	Sample_38	Sample_39	Sample_4	Sample_40	Sample_41	Sample_42	Sample_44	Sample_45	Sample_46	Sample_47	Sample_48	Sample_5	Sample_50	Sample_51	Sample_52	Sample_53	Sample_54	Sample_56	Sample_7	Sample_8	Sample_9	taxID
                  Lacrimispora sphenoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	29370
                  Lactobacillus agilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1601
                  Lactobacillus amylovorus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1604
                  Lactobacillus delbrueckii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17153	0	0	0	0	0	0	0	0	0	35689	0	0	0	0	0	0	0	0	0	0	1584
                  Lactobacillus fermentum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1791	0	0	0	0	0	0	0	0	0	1834	0	0	0	0	0	0	0	0	0	0	1613
                  Lactobacillus frumenti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104955
                  Lactobacillus gasseri	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	512	0	0	0	0	0	0	0	0	0	59306	0	0	0	0	0	0	0	0	0	0	1596
                  Lactobacillus gastricus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	10846	0	0	0	0	0	0	0	0	0	0	227942
                  Lactobacillus mucosae	0	0	0	0	1928	0	0	0	0	0	328	0	0	0	0	0	0	208	96481	0	0	0	0	0	0	0	0	0	91628	0	0	0	0	0	0	0	0	0	228	97478
                  Lactobacillus paragasseri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	675	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0	0	0	0	0	2107999
                  Lactobacillus plantarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	0	0	0	0	0	0	0	0	0	420	0	0	0	0	0	0	0	0	0	0	1590
                  Lactobacillus reuteri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1598
                  Lactobacillus salivarius	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	810	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	1624
                  Lactococcus lactis	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1358
                  Leifsonia xyli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	248	1575
                  Leptotrichia sp. oral taxon 212	2187	4582	19956	66102	3297	678	29096	6581	23589	3763	2063	58107	6602	1055	2075	600	3857	2268	555	361	20118	1279	11853	47498	311	56530	10171	11818	514	49705	32149	2569	3052	3476	10974	203	1466	21620	11374	712357
                  Leptotrichia sp. oral taxon 498	0	4088	608	1403	935	1620	527	13846	6233	8898	3217	11611	8074	413	1889	0	0	267	2072	4499	991	2112	25335	44401	0	501	836	50292	10322	221	47433	1054	22173	58774	5047	0	3938	671	2289	712368
                  Leptotrichia sp. oral taxon 847	0	644	561	1176	3231	498	694	3209	1426	1706	561	3707	953	0	688	0	0	0	398	1713	836	1922	5515	6108	0	661	786	11463	3542	0	9954	1524	6205	60640	1541	208	720	330	748	1785996
                  Leucobacter triazinivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	1784719
                  Libanicoccus massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1512	0	0	0	0	0	1871022
                  Luteimicrobium xylanilyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	267	1133546
                  Mageeibacillus indolicus	0	200	0	0	0	0	0	0	0	697	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	699	0	0	410	0	0	0	0	0	0	0	0	884684
                  Mannheimia sp. USDA-ARS-USMARC-1261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1432056
                  Mannheimia sp. ZY170218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2679994
                  Marmoricola scoriae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	642780
                  Megasphaera elsdenii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	444	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	907
                  Megasphaera stantonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2144175
                  Microbacterium foliorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	104336
                  Microbacterium sediminis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	904291
                  Micrococcus luteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0	0	253	0	0	0	1270
                  Microlunatus phosphovorus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	257	0	0	0	0	0	0	0	29405
                  Microlunatus soli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	630515
                  Micropruina glycogenica	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	403	0	0	0	0	0	0	0	75385
                  Microterricola viridarii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412690
                  Murdochiella vaginalis	213	0	0	0	0	0	257	0	0	0	0	0	0	0	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1852373
                  Mycolicibacterium litorale	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	758802
                  Nakamurella multipartita	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	53461
                  Negativicoccus massiliensis	0	0	0	0	0	0	351	322	0	563	0	0	0	0	209	0	0	0	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1702287
                  Neisseria sp. 10022	0	343	0	0	0	0	477	0	0	0	0	0	0	0	0	1534	0	0	0	0	0	0	0	364	0	0	406	0	0	306	0	0	0	0	226	0	0	288	448	1853276
                  Neisseria sp. AP206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1229328
                  Neisseria sp. KEM232	0	1280	383	340	847	0	2277	744	825	0	821	459	419	709	0	18326	0	2461	557	661	2762	648	0	1810	8187	0	4056	0	0	4849	0	0	375	2286	1117	1510	0	1995	2992	655307
                  Neisseria sp. oral taxon 014	1059	4206	10702	2689	27861	1645	22665	2113	33963	885	55289	7347	10177	708	414	195098	1824	1167	3197	950	20914	6368	3891	9665	896	0	17673	1766	10341	7818	5389	4150	12169	30959	3147	1885	581	14644	22161	641148
                  Nocardia cyriacigeorgica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135487
                  Nocardioides seonyuensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2518371
                  Nocardiopsis dassonvillei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	0	2014
                  Nocardiopsis gilva	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	280236
                  Olsenella timonensis	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	0	0	0	4411	0	0	0	0	0	0	0	0	0	0	0	0	204	0	3271	0	0	0	0	0	1805478
                  Olsenella uli	0	1212	0	215	650	278	1289	4072	203	12398	0	0	454	9803	1405	0	308	14636	11624	0	0	0	0	0	0	0	255	1925	865	572	1169	4801	0	9198	2786	0	631	0	985	133926
                  Olsenella umbonata	0	0	0	0	0	0	0	0	0	0	0	0	0	506	0	0	0	0	6136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4498	0	0	0	0	0	604330
                  Ornithinimicrobium flavum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	1288636
                  Ottowia sp. oral taxon 894	520	463	0	0	4589	0	0	270	0	0	0	1087	3437	445	0	536	0	9873	0	0	880	0	0	227	0	0	0	0	0	0	0	1094	0	0	0	0	0	676	0	1658672
                  Paraoerskovia marina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	545619
                  Parascardovia denticolens	0	0	0	0	2409	0	0	0	0	0	0	0	0	0	0	0	0	0	120709	0	0	0	0	0	0	0	0	0	694	0	0	0	0	0	0	0	0	0	0	78258
                  Parolsenella catena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1328	0	0	0	0	0	2003188
                  Parvimonas micra	22573	1832	7088	24497	15783	6294	20448	8428	5542	25981	0	1670	1683	3632	9799	778	4302	4505	610	0	12409	429	1360	0	0	1313	12979	1788	5665	0	1100	527	2180	0	1431	0	2309	498	280	33033
                  Peptoniphilus harei	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54005
                  Peptostreptococcus anaerobius	386	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1261
                  Propionibacterium acidifaciens	215	1948	807	702	42730	490	217	40155	429	40341	0	767	9305	2911	681	0	556	34081	262857	954	3520	1063	717	408	471	480	1800	291	177669	7120	49122	611	5576	0	592	1764	2897	1109	6303	556499
                  Propionibacterium australiense	0	0	0	441	905	0	0	1711	267	665	0	573	282	0	200	0	0	1460	1701	374	1169	508	0	0	238	0	605	0	4209	998	387	547	3046	9157	0	1419	1523	0	594	119981
                  Propionibacterium freudenreichii	0	0	215	390	315	0	0	0	0	0	0	289	0	0	0	0	0	370	0	0	290	263	0	0	0	0	0	0	259	674	0	749	278	0	0	555	200	0	0	1744
                  Pseudobutyrivibrio xylanivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0	650	0	0	0	0	457	0	0	0	0	0	0	185007
                  Pseudomonas aeruginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287
                  Pseudopropionibacterium propionicum	16528	5151	266635	299090	293971	20258	54463	87716	147380	26819	6255	184318	79213	1313	128906	15355	8746	6478	1284	107005	147890	46507	46346	181076	5557	8546	81297	21897	1221	0	26127	159071	11173	50572	95889	2498	25994	84559	158831	1750
                  Rathayibacter iranicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	59737
                  Roseburia hominis	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301301
                  Roseburia intestinalis	0	0	0	0	0	0	0	714	0	335	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	868	0	0	592	0	398	0	0	0	0	0	0	166486
                  Rothia aeria	0	0	212	268	20952	0	1942	0	1983	402	12181	1306	504	0	0	29335	216	851	0	0	297	3696	0	263	456	2824	5500	0	0	317	1104	0	0	1051	383	10778	595	1125	2299	172042
                  Rothia dentocariosa	0	0	529	523	85955	723	4506	819	5424	1027	29720	13701	1162	229	0	64756	630	18474	3640	429	532	33038	894	472	18077	3489	13187	0	1260	970	2761	399	414	2843	646	83330	1400	2189	10315	2047
                  Rothia mucilaginosa	0	205	0	506	767	0	0	206	0	2649	2802	269	622	390	0	159235	0	573	6169	0	0	344	0	0	418	1266	1477	0	265	202	8179	371	246	4189	0	1989	0	414	5361	43675
                  Sanguibacter keddieii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	205	0	0	0	0	0	380	0	0	321	60920
                  Scardovia inopinata	0	0	0	0	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4662	0	0	0	0	0	0	0	0	0	0	78259
                  Schaalia cardiffensis	7945	0	329	381	457	207	0	0	236	4899	0	234	0	2620	2512	0	0	0	280	0	1492	425	0	0	0	290	0	6013	0	0	418	3139	0	0	870	447	0	0	386	181487
                  Schaalia meyeri	0	484	448	399	11806	578	658	750	256	347	0	503	1247	1299	511	293	0	0	0	910	1955	2000	334	0	0	2793	430	230	255	271	261	265	406	0	1285	1844	389	404	501	52773
                  Schaalia odontolytica	0	9331	1880	2692	1441	1178	3202	3040	344	2531	0	2114	2304	25231	9921	15595	1169	1987	356	1750	2068	18028	734	923	1947	183350	3137	1567	624	10875	2923	297	951	246	1242	5532	685	3284	1378	1660
                  Schaalia radingae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131110
                  Selenomonas ruminantium	0	290	0	0	0	0	0	201	0	410	330	0	356	0	235	0	0	0	1539	0	0	0	237	0	0	0	267	328	498	0	1517	256	0	479	0	0	390	0	0	971
                  Selenomonas sputigena	12128	145798	30029	36383	1541	25563	87305	46783	7314	100577	36298	6693	11060	120850	79113	616	18065	12681	126806	33566	13535	1550	34603	20388	294	871	7192	93667	45128	6284	127801	37374	154895	5211	5294	1866	75972	2039	115567	69823
                  Serinicoccus profundi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	1078471
                  Sinomonas atrocyanea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	314	37927
                  Slackia heliotrinireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	0	0	0	0	0	84110
                  Stackebrandtia nassauensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	283811
                  Staphylococcus aureus	0	554	4135	0	0	0	4992	407	2519	1286	0	1798	1271	274	405	552	1457	0	428	3631	1649	2987	794	0	0	604	0	4527	0	889	724	2608	319	776	0	1158	2094	804	0	1280
                  Staphylococcus capitis	886	0	846	0	0	1298	1106	0	608	290	0	438	313	0	0	0	342	0	0	0	434	705	0	0	0	0	0	995	0	270	0	584	0	0	0	284	491	220	0	29388
                  Staphylococcus cohnii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29382
                  Staphylococcus epidermidis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	307	0	0	204	0	0	0	435	0	0	332	0	0	0	560	350	0	0	0	0	0	911	426	0	1282
                  Streptococcus acidominimus	0	0	0	0	0	0	0	0	0	0	0	0	0	843	0	0	0	0	579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1326
                  Streptococcus agalactiae	689	0	0	394	0	0	0	253	0	363	0	0	0	1605	253	343	0	0	875	0	0	0	0	0	417	0	0	0	550	0	0	0	0	0	0	0	0	0	263	1311
                  Streptococcus australis	18854	2153	1111	5367	3592	1990	10852	388	2259	548	833	1575	699	9352	3930	14568	2576	0	1673	274	3739	1509	674	1632	4064	5143	4837	522	2707	722	3321	908	710	687	2787	1221	512	9781	3960	113107
                  Streptococcus canis	0	0	0	0	0	0	303	0	0	0	0	0	0	1210	0	0	0	0	883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1329
                  Streptococcus cristatus	52372	80445	21177	79742	50657	19549	170564	12656	30562	3988	9664	54480	7374	13640	36976	20141	7782	265	10502	25395	33679	106192	21124	28708	26459	33187	58963	2195	5307	11162	8277	33029	18815	51309	12686	4808	25768	21471	17831	45634
                  Streptococcus equinus	0	0	0	0	0	0	0	0	0	0	0	0	0	1322	0	702	0	0	1073	0	0	0	0	0	279	251	0	0	350	0	0	0	0	0	0	0	0	0	0	1335
                  Streptococcus ferus	261	246	0	0	0	0	413	0	0	0	0	0	0	514	0	0	0	0	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1345
                  Streptococcus gallolyticus	0	0	0	230	0	0	257	0	0	0	0	0	0	1270	0	0	0	0	1601	0	0	217	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	315405
                  Streptococcus gordonii	20270	16362	21209	257601	106562	52596	34575	37614	13853	5167	59209	28966	2669	6351	12251	37670	3870	12366	5061	1530	6427	200541	3115	6051	123160	169991	19172	2161	27058	31130	2325	5008	12196	7638	1841	44371	1375	26814	101308	1302
                  Streptococcus gwangjuense	3655	435	248	989	1217	425	4688	0	328	0	0	274	0	1044	498	2513	307	0	863	0	518	711	0	204	1243	1188	1142	0	991	0	761	0	0	374	382	356	0	1264	497	1433513
                  Streptococcus halotolerans	0	0	0	0	0	0	0	0	0	0	0	0	0	1098	0	0	0	0	765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1814128
                  Streptococcus himalayensis	242	244	0	0	0	0	472	0	0	0	0	0	0	400	0	0	0	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1888195
                  Streptococcus infantarius	0	0	0	0	0	0	0	0	0	0	0	0	0	609	0	0	0	0	449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102684
                  Streptococcus infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68892
                  Streptococcus iniae	0	0	0	0	0	0	409	0	0	0	0	0	0	887	0	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1346
                  Streptococcus koreensis	420	0	0	1211	0	0	414	0	0	0	0	0	0	220	0	3658	0	0	0	0	0	0	0	233	538	683	1269	0	0	0	200	0	0	0	0	0	0	0	246	2382163
                  Streptococcus macedonicus	0	0	0	0	0	0	0	0	0	0	0	0	0	413	0	0	0	0	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59310
                  Streptococcus marmotae	0	0	0	0	0	0	0	0	0	0	0	0	0	439	0	0	0	0	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1825069
                  Streptococcus merionis	0	0	0	0	0	0	236	0	0	0	0	0	0	499	0	0	0	0	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400065
                  Streptococcus milleri	4128	5410	675	7236	1622	5970	5468	1686	2871	5510	283	641	0	8109	3031	495	1285	5138	15117	664	2659	427	983	0	974	3113	3344	8413	23454	352	669	590	2260	728	771	203	301	1128	10186	33040
                  Streptococcus mitis	18214	1953	960	4150	5780	1781	24235	434	1377	717	691	1237	388	5439	2099	15163	1489	0	6192	222	1952	3425	851	1172	5866	4686	4661	396	6099	433	2695	521	824	888	1135	1852	299	5299	2131	28037
                  Streptococcus mutans	1016	330	218	1523	24904	201	1289	14169	278	360	191709	0	497	1712	1205	6683	0	10767	2330	819	925	320183	0	0	786	303	516	438	4445	1705	1760	372	13636	0	297	24461	0	0	12163	1309
                  Streptococcus oralis	95180	12958	6135	29794	20299	13957	59649	3108	11371	5479	5099	11187	3703	47120	17532	90596	14738	1078	15914	1231	19786	13464	4842	5654	57764	61628	10763	2983	28737	1738	26872	2165	3678	5132	9403	10340	2516	51276	14996	1303
                  Streptococcus pantholopis	0	0	0	0	0	0	0	0	0	0	0	0	0	363	0	0	0	0	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1811193
                  Streptococcus parasanguinis	745	10656	235	970	1771	353	1256	2882	212	378	455	242	0	622	741	19240	0	0	1625	0	257	483	2904	321	1710	956	1228	2774	1901	360	14472	356	349	1009	0	0	0	573	1377	1318
                  Streptococcus parauberis	0	0	0	0	0	0	0	0	0	0	0	0	0	753	0	0	0	0	502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1348
                  Streptococcus pasteurianus	0	0	0	0	0	0	0	0	0	0	0	0	0	680	0	0	0	0	1118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197614
                  Streptococcus periodonticum	1844	6404	664	11262	320	4546	1589	3190	648	1292	0	380	0	7927	4528	421	3867	290	20863	726	1958	681	737	0	0	1295	617	5073	32502	202	588	1845	0	347	509	0	632	0	8739	2490633
                  Streptococcus pluranimalium	0	0	0	0	0	0	613	0	0	0	0	0	0	1472	0	224	0	0	1024	0	0	0	0	0	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82348
                  Streptococcus pneumoniae	16047	1673	1399	4006	3139	1574	14082	607	1315	677	545	1273	347	5340	2154	10337	1458	0	3764	267	2172	2832	654	1216	5999	5217	2431	476	4640	3839	2677	651	599	859	1102	1003	300	5977	2979	1313
                  Streptococcus porcinus	564	0	0	941	0	0	549	0	0	0	0	0	0	1226	300	0	0	0	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1340
                  Streptococcus pseudopneumoniae	2069	239	0	442	462	0	1826	0	0	0	0	0	0	630	227	1573	289	0	499	0	217	341	0	0	602	514	370	0	670	0	278	0	0	0	0	0	0	595	282	257758
                  Streptococcus pyogenes	1569	436	227	764	344	264	0	512	215	267	0	346	0	2404	658	219	0	0	1294	0	274	0	213	0	239	0	403	245	0	0	225	0	406	0	0	0	0	0	211	1314
                  Streptococcus respiraculi	206	0	0	0	0	0	302	0	0	0	0	0	0	430	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2021971
                  Streptococcus salivarius	1898	1211	299	1831	1354	468	2506	1850	0	688	465	366	0	3788	699	22533	0	0	4151	0	495	2789	469	522	2154	807	596	928	5305	509	1725	535	3810	1008	217	1159	0	500	2357	1304
                  Streptococcus sanguinis	23426	36757	41669	60161	71347	15624	135217	6860	34309	7298	47723	46245	4256	6188	14448	207616	7488	2524	3540	2950	36758	64738	7027	11465	0	146131	40815	4584	9279	254820	4076	17310	54520	18113	8279	181698	3523	20583	62654	1305
                  Streptococcus sinensis	649	0	0	0	0	0	0	0	0	0	0	0	0	0	470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	0	176090
                  Streptococcus sobrinus	0	268	0	395	0	216	251	5158	0	0	0	0	0	0	0	1273	0	0	1771	0	3019	0	0	0	292	379	0	0	27563	0	0	0	5714	0	0	0	0	0	0	1310
                  Streptococcus suis	1471	1541	453	666	595	326	2913	328	0	316	0	0	0	4121	745	1078	0	0	2829	425	599	755	235	0	736	583	478	242	764	0	264	390	228	0	0	0	0	388	687	1307
                  Streptococcus thermophilus	612	558	0	315	342	0	829	0	0	0	0	0	0	1537	284	1064	0	0	1894	0	0	1088	0	0	848	651	0	0	1357	0	0	0	1029	0	0	349	0	0	202	1308
                  Streptococcus troglodytae	0	0	0	0	0	0	0	0	0	0	1357	0	0	212	0	0	0	0	0	0	0	2584	0	0	0	0	0	0	0	0	0	0	0	1121	0	0	0	0	0	1111760
                  Streptococcus uberis	0	0	0	0	0	0	0	0	0	0	0	0	0	770	0	0	0	0	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1349
                  Streptococcus urinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	1170	0	0	0	0	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149016
                  Streptococcus vestibularis	0	0	0	0	524	0	605	0	0	0	0	0	0	469	0	727	0	0	691	0	0	3161	0	0	1214	0	0	0	3405	0	0	0	2919	204	0	1818	0	0	0	1343
                  Streptomyces cattleya	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29303
                  Streptomyces tsukubensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83656
                  Streptomyces venezuelae	0	0	0	0	265	0	0	0	0	0	0	240	0	0	0	0	0	681	0	0	0	222	0	0	0	0	0	0	0	327	0	0	0	0	0	632	210	0	238	54571
                  Streptosporangium roseum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	2001
                  Tessaracoccus aquimaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	1332264
                  Tessaracoccus flavescens	0	0	376	244	481	0	0	0	392	0	0	225	0	0	0	0	0	452	0	0	0	202	0	418	0	0	0	0	0	0	0	331	0	0	0	214	0	0	0	399497
                  Tessaracoccus flavus	0	0	286	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	395	0	299	0	0	0	0	0	0	0	1610493
