Sample_2	Sample_22	Sample_23	Sample_24	Sample_25	Sample_26	Sample_27	Sample_28	Sample_29	Sample_3	Sample_30	Sample_31	Sample_32	Sample_33	Sample_34	Sample_35	Sample_36	Sample_37	Sample_38	Sample_39	Sample_4	Sample_40	Sample_41	Sample_42	Sample_44	Sample_45	Sample_46	Sample_47	Sample_48	Sample_5	Sample_50	Sample_51	Sample_52	Sample_53	Sample_54	Sample_56	Sample_7	Sample_8	Sample_9	taxID
                    Paenibacillus sp. RUD330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2023772
                    Porphyromonas asaccharolytica	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28123
                    Porphyromonas gingivalis	5889	232	0	962	1788	346	4151	0	813	518	0	0	203	414	2971	315	0	4075	0	0	608	0	0	0	0	240	377	1601	953	0	943	1214	0	0	0	0	0	261	0	837
                    Prevotella dentalis	0	0	0	0	0	0	512	0	0	426	224	0	0	415	296	0	0	326	525	0	0	0	0	0	0	0	0	646	802	0	585	321	0	0	0	0	0	0	0	52227
                    Prevotella denticola	0	630	0	0	1698	238	891	396	272	4770	11768	0	400	429	322	0	1480	1550	62767	523	1421	753	555	223	0	1832	296	804	32548	453	3054	0	386	3947	0	770	1108	238	1172	28129
                    Prevotella enoeca	0	446	225	289	1263	290	0	536	339	584	308	0	0	267	4307	0	201	226	756	260	395	346	240	0	0	409	0	796	1194	209	1410	201	431	544	211	0	353	301	221	76123
                    Prevotella fusca	0	301	390	296	0	213	0	0	266	346	0	0	330	0	0	0	282	0	619	0	0	534	374	205	0	3082	0	784	1500	0	1246	0	438	0	208	0	0	0	0	589436
                    Prevotella intermedia	1783	3957	4114	11503	2518	8610	11732	1676	1661	3638	1213	1294	1347	2018	6768	378	3197	7836	2545	1448	10635	1554	2280	538	583	4749	3430	6015	7293	746	6081	3155	1856	1087	1457	0	2628	1297	1205	28131
                    Prevotella jejuni	0	850	0	0	287	733	0	517	2256	1141	0	256	1184	201	872	0	998	0	1369	352	246	1334	1173	220	353	8568	263	3283	5873	0	12574	0	1720	553	748	0	208	270	439	1177574
                    Prevotella melaninogenica	230	5334	317	600	994	5163	276	2803	5488	3359	598	1380	10363	536	1681	1590	7170	245	1232	1687	793	10326	7277	1059	2691	74710	1496	15159	4310	663	17999	201	9566	1385	4853	924	471	1185	2130	28132
                    Prevotella oris	280	1665	248	1821	1054	967	1173	742	880	5558	4848	323	493	297	612	0	3875	3402	1338	950	1571	5772	904	326	232	395	7446	3177	6957	2069	3974	312	1552	1022	740	861	1085	584	4618	28135
                    Prevotella scopos	0	690	0	0	0	689	0	420	700	599	0	224	1024	0	295	210	828	0	477	469	213	1223	1092	0	341	8522	366	1901	1325	335	3106	0	1287	311	583	0	0	236	360	589437
                    Propioniciclava sp. HDW11	0	0	0	233	0	0	0	0	0	0	0	217	0	0	0	0	0	365	0	0	0	0	0	0	0	0	0	0	0	418	0	455	0	0	0	291	0	0	0	2714937
                    Pseudactinotalea sp. HY158	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0	308	0	0	0	0	0	362	0	0	412	2654547
                    Pseudarthrobacter sp. YJ56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2697569
                    Pseudomonas stutzeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	316
