Final Max Accuracy: 92.16734822271154% in 0:0:25
Test Config: lr: 0.01, linear: False, loss_fn: ce, optim: adam
Epoch: 4400, Train loss: 4.9872374692252235, Test Loss: 5.357862302792566, Accuracy: 91.63258886442277
Epoch: 4450, Train loss: 4.986227773598525, Test Loss: 5.357443978824776, Accuracy: 91.66404529726329
Epoch: 4500, Train loss: 4.985441737275584, Test Loss: 5.357073755359424, Accuracy: 91.6955017301038
Epoch: 4550, Train loss: 4.984710062291761, Test Loss: 5.357140045263615, Accuracy: 91.66404529726329
Epoch: 4600, Train loss: 4.98395903250724, Test Loss: 5.356230321500502, Accuracy: 91.72695816294433
Epoch: 4650, Train loss: 4.9832578400982515, Test Loss: 5.3559370546895035, Accuracy: 91.72695816294433
Epoch: 4700, Train loss: 4.982594244067111, Test Loss: 5.356098640152871, Accuracy: 91.66404529726329
Epoch: 4750, Train loss: 4.981935972681433, Test Loss: 5.35568612010276, Accuracy: 91.78987102862536
Epoch: 4800, Train loss: 4.9812977578947235, Test Loss: 5.355401246560695, Accuracy: 91.75841459578484
Epoch: 4850, Train loss: 4.980602889801617, Test Loss: 5.3549396855484375, Accuracy: 91.75841459578484
Epoch: 4900, Train loss: 4.979834574949051, Test Loss: 5.354835758406837, Accuracy: 91.6955017301038
Epoch: 4950, Train loss: 4.9790402932878495, Test Loss: 5.354847740543153, Accuracy: 91.75841459578484
Epoch: 5000, Train loss: 4.978262300466725, Test Loss: 5.354442811472728, Accuracy: 91.82132746146587
Epoch: 5050, Train loss: 4.9775531391515555, Test Loss: 5.3543399260152205, Accuracy: 91.85278389430638
Epoch: 5100, Train loss: 4.97621460033992, Test Loss: 5.354713632010215, Accuracy: 91.8842403271469
Epoch: 5150, Train loss: 4.975422092269718, Test Loss: 5.353906882704155, Accuracy: 91.8842403271469
Epoch: 5200, Train loss: 4.974700608055158, Test Loss: 5.353882761728312, Accuracy: 91.8842403271469
Epoch: 5250, Train loss: 4.973975434816676, Test Loss: 5.353776754942854, Accuracy: 91.94715319282794
Epoch: 5300, Train loss: 4.973026026058691, Test Loss: 5.353584079394189, Accuracy: 92.01006605850897
Epoch: 5350, Train loss: 4.972321415478132, Test Loss: 5.353042521090209, Accuracy: 91.97860962566845
Epoch: 5400, Train loss: 4.971740960155233, Test Loss: 5.3524846816993366, Accuracy: 91.94715319282794
Epoch: 5450, Train loss: 4.9711820681587, Test Loss: 5.351830150893731, Accuracy: 91.91569675998743
Epoch: 5500, Train loss: 4.970710676830085, Test Loss: 5.3507747555294385, Accuracy: 91.8842403271469
Epoch: 5550, Train loss: 4.970222926334268, Test Loss: 5.3496727637831745, Accuracy: 91.8842403271469
Epoch: 5600, Train loss: 4.969803191744302, Test Loss: 5.348982802694486, Accuracy: 91.91569675998743
Epoch: 5650, Train loss: 4.969388343802118, Test Loss: 5.348038711164527, Accuracy: 91.8842403271469
Epoch: 5700, Train loss: 4.969001761486915, Test Loss: 5.3470491593732445, Accuracy: 91.8842403271469
Epoch: 5750, Train loss: 4.968615189810689, Test Loss: 5.346414848058488, Accuracy: 91.91569675998743
Epoch: 5800, Train loss: 4.96825427074896, Test Loss: 5.3455455713462445, Accuracy: 91.91569675998743
Epoch: 5850, Train loss: 4.967906120208578, Test Loss: 5.3453459869779785, Accuracy: 91.91569675998743
Epoch: 5900, Train loss: 4.96756125321346, Test Loss: 5.343329340514665, Accuracy: 91.91569675998743
Epoch: 5950, Train loss: 4.967229616175015, Test Loss: 5.342370521551279, Accuracy: 91.94715319282794
Epoch: 6000, Train loss: 4.96689806457126, Test Loss: 5.341301247772493, Accuracy: 91.91569675998743
Epoch: 6050, Train loss: 4.966575368003325, Test Loss: 5.338898592687894, Accuracy: 91.94715319282794
Epoch: 6100, Train loss: 4.966294651185612, Test Loss: 5.3334271846864105, Accuracy: 92.07297892419
Epoch: 6150, Train loss: 4.965429305413514, Test Loss: 5.329394871630804, Accuracy: 92.07297892419
Epoch: 6200, Train loss: 4.965048323720535, Test Loss: 5.328657865282371, Accuracy: 92.07297892419
Epoch: 6250, Train loss: 4.964698184033913, Test Loss: 5.3270377548621335, Accuracy: 92.07297892419
Epoch: 6300, Train loss: 4.964352612902139, Test Loss: 5.324596362878603, Accuracy: 92.13589178987102
Epoch: 6350, Train loss: 4.964027759213142, Test Loss: 5.321811014529336, Accuracy: 92.13589178987102
Epoch: 6400, Train loss: 4.9637028644974635, Test Loss: 5.319555128980685, Accuracy: 92.13589178987102
Epoch: 6450, Train loss: 4.963383838429184, Test Loss: 5.318733464788282, Accuracy: 92.16734822271154
Epoch: 6500, Train loss: 4.963052784636825, Test Loss: 5.318807153458701, Accuracy: 92.13589178987102
Epoch: 6550, Train loss: 4.962759845042498, Test Loss: 5.319070261806524, Accuracy: 92.16734822271154
Epoch: 6600, Train loss: 4.962418146462603, Test Loss: 5.319477696641976, Accuracy: 92.16734822271154
Epoch: 6650, Train loss: 4.962096762712683, Test Loss: 5.319840214267144, Accuracy: 92.13589178987102
Epoch: 6700, Train loss: 4.961779706445009, Test Loss: 5.320756655854594, Accuracy: 92.13589178987102
Epoch: 6750, Train loss: 4.961508536208459, Test Loss: 5.321292647805828, Accuracy: 92.10443535703051
Epoch: 6800, Train loss: 4.961238380788605, Test Loss: 5.32168644739619, Accuracy: 92.10443535703051
Epoch: 6850, Train loss: 4.960994624705334, Test Loss: 5.321982389946203, Accuracy: 92.10443535703051
Epoch: 6900, Train loss: 4.960743282436785, Test Loss: 5.322196202365488, Accuracy: 92.10443535703051
Epoch: 6950, Train loss: 4.960506040156498, Test Loss: 5.322083214061993, Accuracy: 92.13589178987102
Epoch: 7000, Train loss: 4.960439310283283, Test Loss: 5.3221496817653735, Accuracy: 92.10443535703051
Epoch: 7050, Train loss: 4.960415342002679, Test Loss: 5.32212078989226, Accuracy: 92.10443535703051
Epoch: 7100, Train loss: 4.9604024681658245, Test Loss: 5.322133606129202, Accuracy: 92.10443535703051
Epoch: 7150, Train loss: 4.960399961929219, Test Loss: 5.322137307992693, Accuracy: 92.10443535703051
Epoch: 7200, Train loss: 4.960398599398089, Test Loss: 5.3221391360303585, Accuracy: 92.10443535703051
Cases: 
Actual: III-B, Predicted: III-B
Actual: V, Predicted: V
Actual: I-B, Predicted: I-B
Actual: IV-C3, Predicted: IV-C3
Actual: II, Predicted: II
Actual: V, Predicted: V
Actual: III-A, Predicted: III-A
Actual: IV-A, Predicted: IV-A
Actual: IV-B, Predicted: IV-B
Actual: III-B, Predicted: III-B
